walk_edge_id,source_u,source_v,length_m,walking_type,crosswalk,overpass,bridge,tunnel,building,park_green,emd_nm,edge_safety_basis,case_A_subtype,matched_road_id,matched_road_risk_index,matched_road_risk_pct,safety_score_0_1,geometry_wkt,case_A_reference_distance_m,case_A_reference_overlap_ratio,case_A_reference_angle_diff_deg,nearest_road_distance_m,distance_discount_factor,case_D_distance_m,crossing_mapping_strategy,crosswalk_midpoint_road_id,crosswalk_midpoint_road_distance_m,walking_risk_score_0_1
131565,95581.0,95582.0,23.681,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,4619596608_8481626226_0,-0.8338966783781916,0.7241332611050921,0.7241332611050921,"LINESTRING (126.93942928127731 37.48677556930392, 126.93953251350477 37.48697243837106)",,,,,,,,,,0.7241332611050921
131632,38650.0,38647.0,20.673,1111,0,0,0,0,0,0,신림동,case_A_separated,1111_parallel_separated,13011366488_13011366496_0,4.160505043269955,0.8876625135427952,0.0,"LINESTRING (126.92971309668727 37.488385673494875, 126.92958624773374 37.48822921701208)",13.682571180211594,0.6513703396754646,0.19005861780090072,,,,,,,0.0
132208,114479.0,95626.0,32.516,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,1843750952_1843751070_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.93883591636757 37.48538610731249, 126.93915768593062 37.48524438267285)",,,,,,,,,,0.48733748645720476
138645,112078.0,112079.0,21.208,1111,0,0,0,0,0,0,봉천동,case_B_nearest_road,,10177874225_13612085403_0,-1.3321831060331903,0.13326110509209102,0.05587944395400429,"LINESTRING (126.92553374321572 37.490449905131214, 126.92576914656459 37.49041345899124)",,,,33.874471994714995,0.4193229818662273,,,,,0.05587944395400429
132664,37245.0,37246.0,27.83,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,1844752511_1844752525_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.9253396579348 37.48934737981458, 126.92542026704855 37.48910499356395)",,,,,,,,,,0.48733748645720476
37363,119862.0,119863.0,111.084,1111,0,0,0,0,0,0,봉천동,case_B_nearest_road,,4288534159_4752760664_0,-1.307343578050236,0.2856175514626219,0.2856175514626219,"LINESTRING (126.95750307189577 37.46163162725354, 126.9586003985282 37.462118087438654)",,,,0.0,1.0,,,,,0.2856175514626219
132211,121350.0,121352.0,30.552,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,2834984739_2834984750_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.94446345327044 37.467754763345006, 126.94436179882707 37.46770703702975, 126.9441344888606 37.46771169763425)",,,,3.1805873086641867,1.0,,,,,0.48733748645720476
132229,90098.0,90112.0,95.219,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,1835173141_2852846105_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.93213574484014 37.482465438860736, 126.93221635589661 37.48213731399178, 126.93205155953615 37.48177104938988, 126.93188342757665 37.48175951065371)",,,,0.0,1.0,,,,,0.48733748645720476
132242,37927.0,37932.0,35.698,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,8478286913_8478286914_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.92980204096722 37.49294475412334, 126.9296472613104 37.49324181343878)",,,,,,,,,,0.13326110509209102
139241,114771.0,114773.0,50.548,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2841340676_2841340677_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.93873013610032 37.46721027385508, 126.93929867461124 37.467164795912495)",,,,,,,,,,0.13326110509209102
