도로코드,보행안전지수,accident_count,mapped_link_count
2115,-9.35005466,7,2
2116,-14.85744376,1,5
2117,-15.62858923,1,3
2118,-8.16684425,0,4
2119,-6.525264252,0,6
2120,-8.61442841,0,2
2121,-1.609833224,1,8
2122,-13.96586533,0,3
2123,-11.9149113,1,4
2124,-11.03766759,0,5
2125,-12.15176742,1,3
2126,-13.68394916,1,3
2127,-4.725232653,3,4
2128,-12.13176763,11,11
2129,-0.086450405,2,5
2130,-14.54742799,0,4
2132,-4.976978713,0,3
2134,-4.065633217,2,4
2136,-8.311946025,2,4
2137,-8.079571249,2,4
2138,-8.329368412,2,10
2139,-5.957284151,1,5
2140,-12.30823702,10,3
2141,-4.395940711,2,4
2142,-7.763913056,1,4
2143,-9.874605199,2,5
2144,-9.70615139,0,3
2145,-6.179861068,2,7
2146,14.82957932,3,5
2147,3.16211598,0,5
2148,2.719874849,0,2
2149,-0.434469773,1,4
2150,-9.997143318,2,7
2151,-10.5539956,2,3
2152,-11.8908647,0,3
2153,4.240171941,0,4
2154,3.532729046,0,1
2155,-0.790974842,0,4
2156,3.098568832,1,4
2157,19.0570172,0,2
2158,-8.585633504,3,6
2159,-8.495855037,0,4
2160,6.851082879,0,3
2161,-4.57396444,0,4
2162,5.298186061,4,5
2163,20.46052929,3,4
2164,6.965422253,2,4
2165,-1.937193141,2,5
2166,-1.551319426,0,4
2167,5.519080213,0,4
2168,7.605306203,3,3
2169,-2.004876074,2,3
2170,4.089178775,0,4
2171,-4.643164292,0,3
2172,3.794942863,1,6
2173,3.093086405,0,5
